,Apache County,Cochise County,Coconino County,Gila County,Graham County,Greenlee County,La Paz County,Maricopa County,Mohave County,Navajo County,Pima County,Pinal County,Santa Cruz County,Yavapai County,Yuma County,Alameda County,Alpine County,Amador County,Butte County,Calaveras County,Colusa County,Contra Costa County,Del Norte County,El Dorado County,Fresno County,Glenn County,Humboldt County,Imperial County,Inyo County,Kern County,Kings County,Lake County,Lassen County,Los Angeles County,Madera County,Marin County,Mariposa County,Mendocino County,Merced County,Modoc County,Mono County,Monterey County,Napa County,Nevada County,Orange County,Placer County,Plumas County,Riverside County,Sacramento County,San Benito County,San Bernardino County,San Diego County,San Francisco County,San Joaquin County,San Luis Obispo County,San Mateo County,Santa Barbara County,Santa Clara County,Shasta County,Sierra County,Siskiyou County,Solano County,Sonoma County,Stanislaus County,Sutter County,Tehama County,Trinity County,Tulare County,Tuolumne County,Ventura County,Yolo County,Yuba County,Churchill County,Clark County,Douglas County,Elko County,Esmeralda County,Eureka County,Lander County,Lincoln County,Lyon County,Mineral County,Nye County,Pershing County,Storey County,Washoe County,White Pine County,Carson City
Pima County,419.6312762,192.1143304,411.6056288,205.8032196,199.733065,267.9898856,275.5508241,150.9705351,438.4096495,387.1625795,0,96.21185946,1081.294103,287.9092194,212.1264184,1108.051945,1023.579325,1067.376292,1217.013788,1043.244646,1225.9414,1126.680835,1522.564608,1083.515646,886.2509581,1265.710685,1175.625878,349.6765289,713.3986769,734.9780094,859.3585939,1256.272271,1239.319129,645.2285387,921.371149,1193.942467,956.6324705,1326.927981,992.1478239,1317.258852,911.1204323,988.1699251,1189.453599,1136.373254,585.3113347,1115.920941,1192.457405,432.0862977,1115.371951,987.8711732,508.2231625,478.2313222,1198.367826,1077.58002,878.5951706,1130.635273,812.1517021,1067.454329,1326.131677,1141.76672,1419.371656,1146.658677,1234.529104,1034.963883,1179.712996,1291.129164,1385.656274,788.4691521,991.0547139,726.8771901,1169.934961,1171.741872,1009.354126,542.8278461,1033.320798,1051.286131,823.5943895,961.2510323,984.9203181,673.5420399,1017.674342,930.4100527,775.9525172,1097.776809,1070.703599,1187.35645,857.8571065,1061.206998
Pinal County,324.0647032,191.5824592,325.858415,109.7004717,138.8918277,201.0766543,264.0918624,115.6410972,380.4788466,291.238912,96.21185946,0,1070.305109,220.8760069,238.2456179,1091.174666,989.6042328,1038.84579,1183.691522,1016.388485,1198.410551,1107.669511,1485.539025,1051.812773,868.2891394,1235.882922,1117.190361,372.3151638,684.2067312,729.2635738,849.612193,1231.160617,1195.550046,654.4186689,899.3680463,1176.618468,932.0434452,1301.840289,974.6992396,1269.368426,877.9597723,982.2702652,1167.152338,1102.045944,601.6463161,1083.039459,1153.796438,440.0326606,1089.731214,977.4717728,493.8822874,504.7387235,1184.54239,1055.83026,879.1037502,1117.312728,821.7808382,1053.503763,1287.819303,1104.43444,1378.372247,1124.800285,1214.16466,1015.326018,1151.140461,1257.303364,1351.843651,771.9074573,962.7495862,736.4231981,1144.758285,1140.054928,960.8666951,495.7394865,996.2744774,980.0554773,783.8798805,898.898252,927.4798867,612.8636619,977.6547268,889.7063885,726.2486635,1045.095153,1029.538259,1139.231621,789.1172187,1023.089117
Santa Cruz County,1136.784981,1259.322126,924.5782151,1075.304197,1193.50384,1233.172629,809.1929597,954.9208155,753.0056156,1063.253687,1081.294103,1070.305109,0,890.0384879,875.4877981,71.06504766,263.9307256,198.7094109,297.1611491,182.1765809,241.6069743,100.9723322,555.4511569,235.7390976,211.0497452,290.0499814,591.9647008,749.2617011,412.9390349,347.6094934,221.9392983,240.4242016,429.2527946,461.12497,201.3675264,132.6625345,195.3635918,296.8608394,115.6937792,521.2346019,294.0960929,105.761331,168.5378037,276.0986163,533.6093832,254.1428365,346.9483699,655.2804386,170.2600423,93.44331555,576.5441024,650.6781371,120.5040646,121.3603608,228.7416948,55.14434511,327.4885774,36.392004,416.7733284,313.2142918,510.778787,139.6473494,186.5884646,107.8551066,226.5873962,346.7762827,415.4407285,300.7974239,212.2102,392.9591739,185.6019194,257.6437853,430.7433972,630.3159131,297.4607587,735.0324624,395.7160005,597.982732,538.0269879,635.3405824,332.4203648,357.1884995,500.7781283,492.4734101,346.0755892,460.8756846,675.7844268,309.4500106
Yavapai County,293.3774439,405.2064114,151.9517084,187.3639861,312.8988563,344.3856783,167.8331647,143.167127,161.1051989,222.1595456,287.9092194,220.8760069,890.0384879,0,240.5439851,902.3651374,782.0007573,836.4080533,975.5063467,816.0181775,995.8559644,915.8748039,1273.241673,845.9685965,681.4048236,1030.754735,896.3180736,311.6046433,486.2842417,565.9833894,675.5569052,1031.01566,979.3920909,523.6349904,706.4140481,986.3090929,735.3261523,1101.284656,786.6721153,1050.939873,672.1756393,811.326883,970.7183402,893.3794149,490.0795211,875.8330197,941.2540386,330.5942491,890.0639905,799.5960835,330.2335919,427.0120898,998.8323457,861.1286142,721.4924578,933.0659838,683.1098864,869.2055042,1075.083111,893.1575216,1163.52971,929.2724972,1019.68341,823.7963549,947.7992688,1048.330191,1142.5187,589.3715106,761.2924224,601.4684238,945.1628998,933.6457138,742.7361551,282.3594267,785.8243362,763.609488,572.7694589,678.2646753,706.6974809,391.9880005,764.8649188,676.9019101,508.3423058,825.1757244,815.6355076,920.8952449,570.8115078,811.5780958
Yuma County,499.9716214,402.2815671,392.3879802,309.4061804,377.0748789,438.3619298,106.707896,146.1125502,327.66654,440.3595089,212.1264184,238.2456179,875.4877981,240.5439851,0,906.0912245,839.5025878,876.423434,1030.32463,850.7071932,1032.772136,926.2872919,1338.530167,896.0250461,686.6603412,1074.716165,1029.973361,138.0741624,528.5501847,527.9733341,653.8877342,1060.547968,1066.582184,433.3499238,725.101445,991.92571,762.5615426,1130.836061,791.2974361,1150.305532,727.4954498,779.9747739,991.5077459,951.5777434,373.3225473,929.5383181,1012.801176,221.6145424,921.0198655,782.1016037,312.4727439,268.9321314,993.9001445,879.806557,668.1747497,926.089338,600.0812316,863.5933394,1144.924568,960.7988868,1241.175013,948.5574996,1034.714562,835.6315278,987.9300197,1104.51844,1198.452787,588.7029036,800.5867864,514.864285,974.7643662,983.4760181,847.2992878,395.6639675,853.1663455,939.1101053,650.8909555,828.3626624,840.5669178,547.3501465,841.9197868,757.0447515,621.7543129,941.878621,895.9268169,1022.142244,744.1282254,882.1834895
Alameda County,1137.334525,1281.687407,925.2683775,1089.151041,1210.273311,1246.690787,833.5721278,976.5599778,758.567436,1065.017078,1108.051945,1091.174666,71.06504766,902.3651374,906.0912245,0,214.317009,141.3834838,226.0961166,132.6968879,172.5351522,30.47676002,491.4368853,174.7072105,222.8859482,221.5446079,529.263755,784.5064581,417.5875018,382.5606604,255.8435231,176.638069,359.2250345,505.169797,197.0565856,85.90893166,176.349158,238.9951606,116.4790835,450.500163,268.5842298,165.2022504,102.2409943,208.671615,578.2952215,188.4507908,277.2787984,688.6769423,102.3679081,136.5983002,600.120865,693.5801194,98.93305731,64.72650395,283.5345701,48.0289788,384.5580486,51.29696121,346.3756056,246.247216,441.4129137,68.99146994,131.9154615,80.68721771,155.5225048,277.039782,349.3772913,319.8614326,176.0393718,442.9016636,114.8073402,187.126508,380.3828491,633.3799335,244.9307157,684.3805252,376.749838,553.0004639,490.4553582,620.5607946,281.8630821,320.8909135,480.3465271,433.4447821,287.7264675,394.2024664,640.710434,252.2495364
Alpine County,982.8570277,1180.813486,774.9989182,968.167805,1094.896917,1122.057944,750.2786637,880.1303783,625.4988647,914.4397627,1023.579325,989.6042328,263.9307256,782.0007573,839.5025878,214.317009,0,77.00753461,194.0873049,82.41519993,219.9398461,203.5397195,499.537299,66.40305792,207.2929167,249.6715656,340.896203,738.3692226,311.3700359,376.3428134,283.4738588,260.6439112,244.0381468,510.9052372,157.0607354,264.7713465,117.3781318,327.441523,178.1960824,339.5077973,112.5037945,296.7743604,220.118548,112.7958958,579.1009629,93.83716361,176.1123773,641.7099212,135.4801581,250.702728,528.2059577,679.3996511,299.6540218,149.6105936,364.4735543,262.3343375,454.7123521,227.6284149,305.6916256,123.2032369,403.5446849,190.5958176,272.1048529,158.076541,171.3752465,267.8450032,362.4341034,280.8329609,68.31541816,477.7395916,182.8274983,151.8870517,167.0568134,500.0951804,35.5266527,471.5469394,211.1918757,338.7789601,276.220778,445.3624487,68.50309842,120.7213683,300.3945351,234.6131299,93.82926131,235.1579176,432.2265742,59.23980331
Amador County,1048.310408,1230.42094,838.6735886,1023.512161,1148.858802,1178.956972,792.2634545,927.2428908,683.1032612,978.6138043,1067.376292,1038.84579,198.7094109,836.4080533,876.423434,141.3834838,77.00753461,0,158.6711358,29.9765177,159.6657365,127.5171164,466.2668384,39.43011926,206.7463159,198.5035133,393.7284712,767.5224165,354.8731834,384.5114245,273.8876449,195.3565984,253.2587418,518.5555695,158.5042365,187.812468,116.8291952,265.0848172,138.9859647,350.2368458,166.1724068,251.8959452,145.7243151,95.49896095,589.773265,69.03083413,172.8378544,670.1891891,59.79629606,207.323414,563.9757638,696.7566835,222.8663949,78.22210085,340.5642932,189.1640222,437.8315534,163.6345284,283.80485,126.5394682,384.5100349,113.8122925,197.9821814,102.6483708,112.4145029,231.204569,323.3723983,296.7341715,76.32810395,474.1407338,111.6882969,109.6418835,239.6902429,556.7531771,104.2169288,543.1727917,274.4674045,414.2025925,350.5276581,514.9602715,141.7707535,194.9370244,370.3304131,293.9319688,147.5598181,268.4825599,509.2175489,111.3327041
Butte County,1168.059714,1374.88966,962.9181629,1161.261094,1288.346924,1314.409756,943.0696826,1074.092611,818.1082034,1101.418939,1217.013788,1183.691522,297.1611491,975.5063467,1030.32463,226.0961166,194.0873049,158.6711358,0,187.7716491,76.99506103,196.5488761,308.8348236,134.3139617,365.038184,68.85084343,351.6948634,924.4476638,503.8798647,542.9413667,429.2163545,117.1112511,143.4578099,676.6385894,317.173233,205.001205,275.3936678,159.9635354,285.2457208,226.8671145,306.1114044,381.7630993,143.2090644,82.21720648,748.1542671,101.1051761,75.66547452,827.2050634,137.0784623,342.7183506,718.0614494,855.42212,248.749069,194.5840925,486.7463331,259.1231002,586.8595388,272.0014443,127.3548974,93.02408505,227.7110035,158.2478221,170.7271733,239.6338103,70.5744024,74.23128972,168.6451726,455.1867196,231.383387,629.4552743,112.6963444,49.25877821,286.300377,693.3037571,191.2416974,553.9455426,403.1939028,456.4181299,390.02636,627.0782656,218.8003501,303.1562197,483.9217942,284.9962077,179.8821468,203.0725931,575.1550612,169.2234379
Calaveras County,1033.129869,1207.963018,822.6514794,1003.306164,1128.012653,1159.287368,767.8815132,904.1965691,664.2927418,962.724714,1043.244646,1016.388485,182.1765809,816.0181775,850.7071932,132.6968879,82.41519993,29.9765177,187.7716491,0,182.6975553,125.2181289,494.3766951,66.94924657,177.2872054,224.1530063,414.3872519,740.341562,332.1990413,355.1729245,243.911721,215.128217,282.1835633,489.014483,129.733491,191.665812,88.88054067,285.6509505,110.8948113,379.301776,150.6317784,226.2193575,158.0141613,125.1585674,560.4007457,98.64389459,202.3605081,642.9941665,74.124244,180.9479626,538.4285145,667.9427885,222.4924069,68.10932159,311.3636751,180.5763072,408.187662,146.0729401,313.4670033,154.9350082,414.1905949,120.740111,209.6498343,79.23442999,137.2420768,259.5989786,350.9072857,268.540849,55.24878,444.1752469,129.1568462,138.5624542,249.436024,537.8364387,115.2915412,553.9246596,260.6241804,420.4752193,358.4703241,503.5621375,150.7896286,190.6829856,359.8868832,311.7300952,165.9128556,293.8745226,509.2886256,128.8723311
Colusa County,1202.756552,1389.99142,994.5103274,1182.861252,1308.413175,1338.015332,950.5741136,1086.582518,841.7952309,1134.115748,1225.9414,1198.410551,241.6069743,995.8559644,1032.772136,172.5351522,219.9398461,159.6657365,76.99506103,182.6975553,0,142.105569,324.0427986,153.5494476,351.3402696,49.2974639,427.7098127,920.2104493,514.2864951,527.0175844,405.8206726,44.8747357,219.604738,657.4579526,308.436485,132.7600913,270.216772,107.5017813,257.1738435,297.7759361,324.3059903,336.5624857,74.96306162,126.9752342,730.2064972,131.3129869,151.2249735,822.9489388,112.2018407,302.8120438,720.7382923,841.6510876,175.5039081,161.6810568,450.4369024,196.3922819,551.7674817,222.7895531,176.771324,153.9895981,269.1747123,104.4920711,93.9155417,209.404631,48.6589007,105.460331,179.7584407,447.1284922,235.662737,602.8856217,62.51785749,77.63213428,343.9251201,715.6092653,229.0181398,624.368074,429.9231097,518.8359801,452.2061125,664.8770352,262.8979251,338.9643844,520.0130613,355.7823928,235.1949501,279.4932507,631.7338229,214.6953084
Contra Costa County,1145.833811,1298.573458,934.1215607,1102.993489,1225.114427,1260.251974,851.6772485,993.4677843,769.722638,1074.100663,1126.680835,1107.669511,100.9723322,915.8748039,926.2872919,30.47676002,203.5397195,127.5171164,196.5488761,125.2181289,142.105569,0,461.9556538,156.680869,240.4305141,191.1744863,507.4315464,806.4353769,429.8744611,405.5378862,279.5617755,147.8756004,331.6083076,530.3586599,209.4850607,71.16169426,183.413914,212.2679846,134.9969004,421.8372101,269.8511487,195.0724481,73.06909897,184.3745553,603.5125093,166.0646099,250.2405299,710.1531587,79.57938552,164.4822017,618.4627106,718.0773724,97.2969383,59.60590181,312.0936615,67.2117353,413.3202902,81.02378917,316.0077249,222.1082953,410.9365117,38.68178287,108.5533709,92.39213332,126.0291344,246.5665316,319.4513154,338.2824311,174.5251623,469.8535555,84.6296335,159.1878636,366.9552539,643.9096154,231.6533744,669.5817605,379.5214109,541.701816,477.9955542,623.6523502,269.2834817,315.881699,481.6048621,414.3484325,269.9929398,369.7204346,634.2311853,235.7191557
Del Norte County,1444.589545,1675.941389,1246.638769,1456.759859,1584.975654,1606.88894,1249.772506,1377.837461,1113.519019,1382.036893,1522.564608,1485.539025,555.4511569,1273.241673,1338.530167,491.4368853,499.537299,466.2668384,308.8348236,494.3766951,324.0427986,461.9556538,0,442.9856156,670.3297639,275.6819557,490.2099588,1233.242756,810.8832959,847.8299268,729.0110238,315.2759414,304.9510547,979.9035425,624.0678704,426.4673528,582.9998078,263.5439723,580.760068,273.4853977,611.998197,656.5799173,389.1960225,387.0343108,1052.280595,409.1043331,332.0074171,1135.976671,432.4793673,625.6792758,1026.515306,1161.830792,456.4714571,485.3615436,773.5294732,503.4047729,874.8812477,542.7100107,198.2095777,381.202669,123.6717741,426.6676099,371.5893994,533.0660561,360.4108417,235.1469857,144.6915712,762.8789864,540.1481626,926.8692197,386.5549039,356.9336717,543.6431887,991.2629728,489.5745953,724.0898625,701.6772437,679.4672482,620.6470621,906.1103451,508.4031127,596.4035083,769.5971285,491.2110738,458.0018034,380.5336861,811.2058407,462.4512842
El Dorado County,1049.216377,1243.228807,841.1705451,1032.504767,1158.834143,1186.886529,809.2099262,941.4278918,690.346348,980.6874955,1083.515646,1051.812773,235.7390976,845.9685965,896.0250461,174.7072105,66.40305792,39.43011926,134.3139617,66.94924657,153.5494476,156.680869,442.9856156,0,238.0156636,184.7948898,356.2334104,790.605308,370.1393919,414.5441374,308.2857194,194.4154415,215.3704406,549.1887009,188.2171459,209.2439564,145.6695146,261.0503221,177.6596262,312.5496986,174.0182888,291.3124888,158.6475,60.491986,619.5893405,34.79404905,136.4740087,693.4387473,79.36353062,246.6495294,583.7474956,724.4390098,247.8248257,114.3981337,378.1839351,221.5432474,474.4678172,201.3475995,254.6706197,87.99637354,354.8495045,135.15867,209.6996552,142.05766,104.9722165,208.4934605,302.5995435,323.6201954,98.40139124,507.8772943,119.2624604,88.3090135,212.8275159,564.5671252,81.2200428,513.3903831,276.8986146,389.5042717,324.4340179,511.6626452,118.6286815,186.3318555,366.7159039,258.7375892,113.3816858,229.1111524,491.104201,79.35148828
